
Image Name                     PID Session Name        Session#    Mem Usage
taskhostw.exe                24724 Console                    5     20,496 K
explorer.exe                 19664 Console                    5    315,188 K
CrossDeviceResume.exe        23824 Console                    5     32,724 K
CrossDeviceService.exe       25572 Console                    5    124,504 K
svchost.exe                  12632 Console                    5     17,860 K
SearchHost.exe               13096 Console                    5    105,936 K
StartMenuExperienceHost.e    16972 Console                    5    143,344 K
Widgets.exe                  26688 Console                    5     41,008 K
RuntimeBroker.exe            14968 Console                    5     56,452 K
svchost.exe                   4804 Console                    5     14,692 K
RuntimeBroker.exe            24636 Console                    5      8,088 K
svchost.exe                  16196 Services                   0     12,772 K
msedgewebview2.exe           22356 Console                    5     77,184 K
msedgewebview2.exe            5284 Console                    5      6,776 K
msedgewebview2.exe           22160 Console                    5     83,504 K
msedgewebview2.exe           12804 Console                    5     32,196 K
msedgewebview2.exe            3588 Console                    5     12,548 K
msedgewebview2.exe           25080 Console                    5     98,460 K
SpotifyLauncher.exe          23364 Console                    5     26,840 K
crashpad_handler.exe         11964 Console                    5      5,244 K
ctfmon.exe                   20408 Console                    5     23,652 K
svchost.exe                  15772 Console                    5     12,188 K
svchost.exe                  28416 Console                    5      8,396 K
PushNotificationsLongRunn    16952 Console                    5     11,620 K
PhoneExperienceHost.exe      10236 Console                    5    192,520 K
WhatsApp.Root.exe             7204 Console                    5    211,196 K
RuntimeBroker.exe            16772 Console                    5     10,516 K
svchost.exe                  15896 Services                   0      5,188 K
NhNotifSys.exe               20336 Console                    5     14,100 K
SecurityHealthSystray.exe     3016 Console                    5      7,444 K
msedgewebview2.exe           26436 Console                    5    148,196 K
msedgewebview2.exe           27820 Console                    5      6,992 K
msedgewebview2.exe            6528 Console                    5    545,052 K
msedgewebview2.exe           21232 Console                    5     40,452 K
msedgewebview2.exe           17780 Console                    5     14,552 K
msedgewebview2.exe            5000 Console                    5    468,388 K
RtkAudUService64.exe         18404 Console                    5     10,808 K
svchost.exe                  19488 Console                    5     20,720 K
FnKey.exe                    22764 Console                    5     99,996 K
WmiPrvSE.exe                 11924 Services                   0      8,784 K
elevation_service.exe         6712 Services                   0     11,468 K
RadeonSoftware.exe           16548 Console                    5     32,220 K
cncmd.exe                    14392 Console                    5      4,372 K
AMDRSServ.exe                28320 Console                    5     43,700 K
amdow.exe                     9520 Console                    5      3,240 K
WidgetService.exe            21184 Console                    5     16,464 K
RuntimeBroker.exe            24928 Console                    5     11,888 K
msedgewebview2.exe           18572 Console                    5     18,064 K
mc-neo-host.exe              24728 Services                   0     13,148 K
ollama app.exe                8728 Console                    5     32,084 K
ShellExperienceHost.exe      27716 Console                    5     84,792 K
RuntimeBroker.exe             5172 Console                    5     26,284 K
ollama.exe                   24976 Console                    5     23,576 K
conhost.exe                  23604 Console                    5      6,420 K
AMDRSSrcExt.exe               3592 Console                    5     35,440 K
AppActions.exe               10580 Console                    5     30,212 K
ApplicationFrameHost.exe     23888 Console                    5     23,928 K
SystemSettings.exe           15764 Console                    5      2,636 K
UserOOBEBroker.exe            8708 Console                    5      7,004 K
DataExchangeHost.exe         20500 Console                    5     12,056 K
OneDrive.Sync.Service.exe    11788 Console                    5      8,812 K
svchost.exe                   6620 Services                   0     42,276 K
LockApp.exe                   8596 Console                    5     73,788 K
RuntimeBroker.exe            12960 Console                    5     50,008 K
mscopilot.exe                20316 Console                    5    134,228 K
mscopilot.exe                24964 Console                    5     13,476 K
mscopilot.exe                23608 Console                    5     43,760 K
mscopilot.exe                14072 Console                    5     40,952 K
mscopilot.exe                 2868 Console                    5     21,284 K
svchost.exe                  18840 Services                   0      7,360 K
chrome.exe                   10288 Console                    5    243,124 K
chrome.exe                   12264 Console                    5      9,676 K
chrome.exe                   10248 Console                    5    166,472 K
chrome.exe                   14272 Console                    5     54,688 K
chrome.exe                   10624 Console                    5     20,248 K
chrome.exe                   28404 Console                    5     81,152 K
chrome.exe                   19496 Console                    5     48,944 K
chrome.exe                   27216 Console                    5    124,188 K
chrome.exe                   20772 Console                    5    174,696 K
chrome.exe                   10516 Console                    5     35,348 K
backgroundTaskHost.exe       24108 Console                    5     61,872 K
RuntimeBroker.exe            25980 Console                    5     29,552 K
svchost.exe                   4192 Services                   0      8,932 K
dllhost.exe                  26912 Console                    5     13,404 K
M365Copilot.exe              26976 Console                    5    149,704 K
RuntimeBroker.exe            15828 Console                    5     21,184 K
msedgewebview2.exe           19900 Console                    5    142,936 K
msedgewebview2.exe           19308 Console                    5     13,096 K
msedgewebview2.exe           19852 Console                    5    164,840 K
msedgewebview2.exe            7308 Console                    5     44,396 K
msedgewebview2.exe            7304 Console                    5     21,080 K
msedgewebview2.exe           25692 Console                    5    285,796 K
ShellHost.exe                25196 Console                    5     50,984 K
audiodg.exe                  12792 Services                   0     32,800 K
Antigravity.exe              26192 Console                    5    182,392 K
Antigravity.exe               3460 Console                    5     25,468 K
Antigravity.exe               2652 Console                    5    177,900 K
Antigravity.exe              18544 Console                    5     46,576 K
Antigravity.exe              20016 Console                    5    986,148 K
Antigravity.exe              16752 Console                    5    112,032 K
Antigravity.exe              19916 Console                    5    115,348 K
Antigravity.exe              27040 Console                    5     91,876 K
Antigravity.exe               5564 Console                    5    265,988 K
Antigravity.exe              10048 Console                    5     91,992 K
conhost.exe                  24608 Console                    5      8,412 K
powershell.exe               28184 Console                    5     84,696 K
conhost.exe                   4208 Console                    5      8,128 K
powershell.exe               24280 Console                    5     87,308 K
conhost.exe                  10836 Console                    5      8,308 K
powershell.exe               21808 Console                    5     84,340 K
language_server_windows_x    14424 Console                    5    975,228 K
conhost.exe                   9892 Console                    5      6,664 K
python.exe                   19172 Console                    5      3,440 K
conhost.exe                  24236 Console                    5      6,768 K
python.exe                   26044 Console                    5     71,208 K
Antigravity.exe              15172 Console                    5     54,392 K
Antigravity.exe               8552 Console                    5     71,864 K
Antigravity.exe              24404 Console                    5    289,780 K
Antigravity.exe              19688 Console                    5    536,492 K
Antigravity.exe              25512 Console                    5     73,676 K
Antigravity.exe              25800 Console                    5    104,956 K
taskhostw.exe                14412 Console                    5     25,264 K
SnippingTool.exe             23972 Console                    5    135,388 K
svchost.exe                  13484 Services                   0      7,584 K
WmiPrvSE.exe                 22136 Services                   0     15,188 K
chrome.exe                   23476 Console                    5     51,280 K
conhost.exe                   2744 Console                    5      7,572 K
powershell.exe               21816 Console                    5     84,604 K
msedgewebview2.exe            9328 Console                    5     78,784 K
Antigravity.exe              12064 Console                    5    115,152 K
python.exe                   13672 Console                    5     11,752 K
tasklist.exe                  4892 Console                    5     14,384 K
